Country of Origin may be different at time of shipment.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Index;Manufacturer Part Number;Manufacturer Name;Description;Lead Time;Availability;Stock Status;Attrition %;Requested Quantity 1;Pack Quantity 1;Pack Type 1;Digi-Key Part Number 1;Unit Price 1;Extended Price 1;Minimum Order Quantity 1;Customer Reference;Requested Part Number;Lead Weeks;Datasheet;Reference Designator;US Import Tariff;Note;Part Status;RoHS Status;REACH Status;Moisture Sensitivity Level (MSL);ECCN;HTSUS;Country of Origin;Environmental Information;Original Part numbers;Unit of Measure;Image;Product Notes
1;BSC014N06NSATMA1;Infineon Technologies;MOSFET N-CH 60V 30A/100A TDSON7;;67.842;In Stock;;10;10;Cut Tape (CT);BSC014N06NSATMA1CT-ND;3,10300;€31.03;1;;BSC014N06NSATMA1CT-ND;61;https://www.infineon.com/dgdl/BSC014N06NS_Rev2.0.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a3043382e837301386ab95a521dcd;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8541.29.0055;Germany;https://www.cypress.com/file/199231/download;BSC014N06NSATMA1CT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2460/448%3B-P%5EPG-TDSON-8-17%3B-%3B-8-Top-View.jpg;
2;RC0603FR-0710RL;YAGEO;RES 10 OHM 1% 1/10W 0603;;1.195.834;In Stock;;10;10;Cut Tape (CT);311-10.0HRCT-ND;0,03200;€0.32;1;;311-10.0HRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-10.0HRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
3;RC0603FR-07100RL;YAGEO;RES 100 OHM 1% 1/10W 0603;;1.700.034;In Stock;;10;10;Cut Tape (CT);311-100HRCT-ND;0,02100;€0.21;1;;311-100HRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-100HRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
4;RC0603FR-071KL;YAGEO;RES 1K OHM 1% 1/10W 0603;;2.422.426;In Stock;;10;10;Cut Tape (CT);311-1.00KHRCT-ND;0,02100;€0.21;1;;311-1.00KHRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-1.00KHRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
5;RC0603FR-076K8L;YAGEO;RES 6.8K OHM 1% 1/10W 0603;;135.277;In Stock;;10;10;Cut Tape (CT);311-6.80KHRCT-ND;0,02100;€0.21;1;;311-6.80KHRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-6.80KHRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
6;RC0603FR-0710KL;YAGEO;RES 10K OHM 1% 1/10W 0603;;12.269.132;In Stock;;25;25;Cut Tape (CT);311-10.0KHRCT-ND;0,01600;€0.40;1;;311-10.0KHRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-10.0KHRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
7;RC0603FR-0739KL;YAGEO;RES 39K OHM 1% 1/10W 0603;;199.716;In Stock;;10;10;Cut Tape (CT);311-39.0KHRCT-ND;0,02100;€0.21;1;;311-39.0KHRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-39.0KHRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
8;RC0603FR-0743K2L;YAGEO;RES 43.2K OHM 1% 1/10W 0603;;57.553;In Stock;;10;10;Cut Tape (CT);311-43.2KHRCT-ND;0,02100;€0.21;1;;311-43.2KHRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-43.2KHRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/100/962/238/13_0603-%281608-metric%29_web%28640x640%29.jpg;
9;RC0603FR-07100KL;YAGEO;RES 100K OHM 1% 1/10W 0603;;4.896.093;In Stock;;10;10;Cut Tape (CT);311-100KHRCT-ND;0,02100;€0.21;1;;311-100KHRCT-ND;17;https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8533.21.0030;Taiwan;https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf;311-100KHRCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg;
10;STM32G431CBT6;STMicroelectronics;IC MCU 32BIT 128KB FLASH 48LQFP;2 expected in stock on 20-Jul-2026;0;Normally Stocking;;2;2;Tray;497-19473-ND;5,15000;€10.30;1;;497-19473-ND;30;https://www.st.com/resource/en/datasheet/stm32g431cb.pdf;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;3  (168 Hours);3A991A2;8542.31.0025;Taiwan;;497-19473-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/422/497%7E5B_ME_V2%7ET%7E48.jpg;
11;DRV8353SRTAR;Texas Instruments;DRIVER;2 expected in stock on 07-Oct-2027;0;Normally Stocking;;2;2;Cut Tape (CT);296-DRV8353SRTARCT-ND;4,52000;€9.04;1;;296-DRV8353SRTARCT-ND;12;https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8353;;N/A;;Active;ROHS3 Compliant;REACH Unaffected;1  (Unlimited);EAR99;8542.39.0070;China;;296-DRV8353SRTARCT-ND;Each;https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6222/296%7E4204422%7ERTA%7E40.jpg;
